Date Time,Doc No,Item Code,Item Brand,Item Description,Qty,Unit Price,Gross Total,Discount Amt,Sub Total,Sub Total (ex)
20/11/2025 14:31:52,T01-096794,10CM MINI LEVEL RULER YELLOW,CHINA STOCK,"4""/10cm MINI LEVEL RULER YLW",1,6.5,6.5,0,6.5,6.5
20/11/2025 14:33:26,T01-096795,990206-MF/DS6,,6 STEP D/SIDE LADDER,1,205,205,0,202.88,202.88
20/11/2025 14:33:26,T01-096795,JCTOP 3X140MM VOLTAGE TEST PEN 19881,CHINA STOCK,140MM TEST PEN 19881,1,4.5,4.5,0,4.45,4.45
20/11/2025 14:33:26,T01-096795,DOCKER 2-WAY SCREWDRIVER DR2140,,DR2140 2WAY S/DRIVER,1,12.5,12.5,0,12.37,12.37
20/11/2025 14:33:26,T01-096795,9555962800577/4302GB,,3'x2' REC PLASTIC TABLE,1,115,115,0,113.82,113.82
20/11/2025 14:33:26,T01-096795,6.0508E+14,,KT708 LIGHTER ,1,1.5,1.5,0,1.48,1.48
20/11/2025 14:35:47,T01-096796,MAXIWHITE,,MAXIWHITE 1 LITER,1,11,11,0,11,11
20/11/2025 14:45:56,T01-096797,SYWEZFIX1210,,12MM STEEL BAND,1,12.5,12.5,0,12.5,12.5
20/11/2025 14:45:56,T01-096797,S019-1 MACHINE SCREW M4x20MM,CHINA STOCK,M4x20MM MACHINE SCREW,1,3.5,3.5,0,3.5,3.5
20/11/2025 14:49:51,T01-096798,ECO ANT BAIT PEST ASIA/0836,,ECO ANT BAIT,1,12.9,12.9,0,12.9,12.9
20/11/2025 14:51:11,T01-096799,07049(R010),,"1/2"" WASHER SHOWER",1,1.8,1.8,0,1.8,1.8
20/11/2025 15:00:19,T01-096800,NX0385,,PLASTIC KNIFE 14X65MM,1,3.9,3.9,0,3.9,3.9
20/11/2025 15:01:41,T01-096801,HSIGCE60W/#3802x60W R'KEY,,60W SOLDERING IRON,1,19.9,19.9,0,19.9,19.9
20/11/2025 15:01:41,T01-096801,SOLDER WITH FLUX,CHINA STOCK,SOLDER WIRE PEN TUBE,1,4.5,4.5,0,4.5,4.5
20/11/2025 15:01:41,T01-096801,CSP,,15GM SOLDERING PASTE,1,4.9,4.9,0,4.9,4.9
20/11/2025 15:07:14,T01-096802,"3PCS 4"" P.ROLLER REFILL BLUE/GRN",CHINA STOCK,"3PCS 4"" P.ROLLER REFILL BLUE/GRN",1,5.5,5.5,0,5.5,5.5
20/11/2025 15:07:41,T01-096803,1104002011/2902005067,,PG13.5 NYLON CABLE GLAND,2,3.5,7,0,7,7
20/11/2025 15:19:10,T01-096804,SLS - PHILIPS 18W/765 FT/2901004046,,18W/765 FLUO TUBE,1,9.5,9.5,0,9.5,9.5
20/11/2025 15:22:34,T01-096805,LK-026,,20KG STOPPING COMPOUND,1,4,4,0,3.95,3.95
20/11/2025 15:22:34,T01-096805,"ROLLINGDOG PAINT SCRAPER 4""",CHINA STOCK,"ROLLINGDOG PAINT SCRAPER 4""",1,8,8,0,7.9,7.9
20/11/2025 15:22:34,T01-096805,2890,WELLFORCE,"02890 5"" S/S FLEX P.KNIFE",1,28.5,28.5,0,28.15,28.15
20/11/2025 15:34:47,T01-096806,LC07ASHC,,LC07 ADJ SHOWER HOLDER,1,25,25,0,25,25
20/11/2025 15:34:47,T01-096806,20-216 MULTI FUCTION FILTER,CHINA STOCK,20-216 MULTI FUCTION FILTER,1,4.5,4.5,0,4.5,4.5
20/11/2025 15:37:13,T01-096807,BCLFT,,8082 B.CARTRIDGE LONG,1,16,16,0,16,16
20/11/2025 15:39:18,T01-096808,3203007085,,1.5MM S/PVC WIRE (BLACK),1,40,40,0,39.6,39.6
20/11/2025 15:39:18,T01-096808,PVC CASING 10*20MM*0.72MM*2M,CHINA STOCK,PVC CASING 10*20MM,3,3.5,10.5,0,10.4,10.4
20/11/2025 15:45:39,T01-096809,HTZ-3516,,M4 X 16 CHIPBOARD SCREW,1,3,3,0,3,3
20/11/2025 15:45:39,T01-096809,FF-W05,,50x50x20x2.0MM L BRAC,1,4.5,4.5,0,4.5,4.5
20/11/2025 15:50:43,T01-096810,191ML WD-40 WS,,WD-40 191ML,2,17.9,35.8,0,35.8,35.8
20/11/2025 15:51:26,T01-096811,3.0801E+12,,CLOTH DUCT TAPE (BL/B/R),1,2.2,2.2,0,2.2,2.2
20/11/2025 16:03:56,T01-096812,HTZ-3538,CHINA STOCK,M4 x 38 CHIPBOARD SCREW,1,25.5,25.5,0,25.5,25.5
20/11/2025 16:03:56,T01-096812,HG/PM-W&D SAND PAPER,,W& D SAND PAPER,2,1,2,0,2,2
20/11/2025 16:11:52,T01-096813,DBC-14 - BOX,,DLX NYLON BUTTERFLY CLIP,1,3.3,3.3,0,3.3,3.3
20/11/2025 16:15:59,T01-096814,"KIZ 3/4"" PVC COMPACT B.VALVE-S",,"3/4"" PVC C.BALL VALVE SE",1,7,7,0,7,7
20/11/2025 16:17:19,T01-096815,CKS-LWFC10,,KLEENSO SERAI WAX FLOOR CLEANER 1LT,1,14.5,14.5,0,14.5,14.5
20/11/2025 16:17:19,T01-096815,MKX-HS-1806 - MTR,,16MM ORANGE HOSE,3,5,15,0,15,15
20/11/2025 16:24:12,T01-096816,VT-202W,,VT202 GP SEALANT WHT,2,8.5,17,0,17,17
20/11/2025 16:26:21,T01-096817,C2030G,,412 STEREO CABLE 1.5M,1,7,7,0,7,7
20/11/2025 16:28:11,T01-096818,14MM DOCKER COMBINATION WRENCH,,14MM C.WRENCH,1,14,14,0,14,14
20/11/2025 16:28:11,T01-096818,1608408160 12.0MM X 160MM,BOSCH,BOSCH S4 SDS+ DRILL BIT 12.0x160MM ,1,12.5,12.5,0,12.5,12.5
20/11/2025 16:28:11,T01-096818,SYW33,CHINA STOCK,"SYW 3/8""X3"" M12 ANCHOR",8,1,8,0,8,8
20/11/2025 16:34:13,T01-096819,MRX1208B-R,,"8"" S/S SHOWER HEAD BLK-R",1,70,70,0,70,70
